Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
555,1/3/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,21,283,NA
555,1/5/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,21,358,NA
555,1/9/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,18,265,NA
555,1/11/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,16,272,NA
555,16/01/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,22,384,NA
555,18/01/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,23,367,NA
555,23/01/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,20,430,NA
555,25/01/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,27,364,NA
555,30/01/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,22,437,NA
555,2/1/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,25,385,NA
555,2/6/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,32,272,NA
555,2/8/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,25,304,NA
555,13/02/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,20,320,NA
555,16/02/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,24,371,NA
555,20/02/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,19,234,NA
555,22/02/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,23,234,NA
555,27/02/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,21,367,NA
555,29/02/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,26,247,NA
555,3/5/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,19,371,NA
555,3/7/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,26,235,NA
555,3/12/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,22,445,NA
555,14/03/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,28,334,NA
555,19/03/2012,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,25,419,NA
