Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10
555,2012-01-03,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,21.0,283.0
555,2012-01-05,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,21.0,358.0
555,2012-01-09,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,18.0,265.0
555,2012-01-11,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,16.0,272.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,22.0,384.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,23.0,367.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,20.0,430.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,27.0,364.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,22.0,437.0
555,2012-02-01,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,25.0,385.0
555,2012-02-06,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,32.0,272.0
555,2012-02-08,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,25.0,304.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,20.0,320.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,24.0,371.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,19.0,234.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,23.0,234.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,21.0,367.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,26.0,247.0
555,2012-03-05,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,19.0,371.0
555,2012-03-07,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,26.0,235.0
555,2012-03-12,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,22.0,445.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,28.0,334.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,25.0,419.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,26.0,323.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,31.0,357.0
555,,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,26.0,290.0
555,2012-04-02,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3.0,28.0,459.0
555,2012-04-04,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,30.0,340.0
